#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:00Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:10Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:20Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:30Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:40Z,31,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:50Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:00Z,30,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:10Z,30,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:20Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:30Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:50Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:10Z,29,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:20Z,37,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:30Z,37,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:40Z,31,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:50Z,38,sensor,luminosidad
